Date : 2019-11-19 02:27:14
Directory : /Users/flatironschool/Development/code/mod5project/bugtracker
Total : 109 files,  16337 codes, 699 comments, 654 blanks, all 17690 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/user_test.rb                               | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/test_helper.rb                                    | Ruby       |          6 |          2 |          3 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/README.md                                             | Markdown   |         37 |          0 |         32 |         69 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/package-lock.json                                     | JSON       |     12,784 |          0 |          1 |     12,785 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/package.json                                          | JSON       |         42 |          0 |          1 |         43 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/public/index.html                                     | HTML       |         20 |         23 |          1 |         44 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/public/manifest.json                                  | JSON       |         25 |          0 |          1 |         26 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/App.js                                            | JavaScript |        128 |          2 |         12 |        142 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/App.test.js                                       | JavaScript |          8 |          0 |          2 |         10 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/DataSheet.js                                      | JavaScript |        651 |         13 |         86 |        750 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/About.js                               | JavaScript |          9 |          0 |          2 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/AssignedBugs.js                        | JavaScript |        314 |          7 |         18 |        339 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/AssignedToDropdown.js                  | JavaScript |         60 |         36 |          9 |        105 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Bug.js                                 | JavaScript |        198 |          4 |         20 |        222 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/BugContainer.js                        | JavaScript |         56 |          0 |          4 |         60 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/BugList.js                             | JavaScript |        103 |          3 |          4 |        110 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/BugTracker.js                          | JavaScript |         18 |          0 |          8 |         26 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ButtonBar.js                           | JavaScript |         41 |          0 |         11 |         52 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Contact.js                             | JavaScript |          9 |          0 |          2 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Home.js                                | JavaScript |         78 |          0 |          3 |         81 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/LoginForm.js                           | JavaScript |         59 |          0 |         16 |         75 |
